Title,URL,image URL,image2 URL,Price1,Price2,Price3,desc1,desc2,desc3,Item ID,Type,Brand,Price level,Tag ID,Gender,online Date,offline Date,Stock,Status
Patchwork Round Neck Long Sleeve Women's Day Dress(Plus Size Available),http://www.tbdress.com/product/Patchwork-Round-Neck-Long-Sleeve-Womens-Day-Dress-Plus-Size-Available-11315554.html,http://s.tbdress.com/images/product/11/11315/11315554_1.jpg,http://s.tbdress.com/images/product/11/11315/11315554_1_m.jpg,27.97,9.99,9.49,,,,11315554,Short Day Dresses,,,,,17:51.9,2015/4/3 16:00,,2
Print Sleeveless Halter Women's Maxi Dress,http://www.tbdress.com/product/Print-Sleeveless-Halter-Womens-Maxi-Dress-11315553.html,http://s.tbdress.com/images/product/11/11315/11315553_1.jpg,http://s.tbdress.com/images/product/11/11315/11315553_1_m.jpg,172.48,68.99,63.39,,,,11315553,Maxi Dresses,,,,,17:27.2,2015/4/3 16:00,,2
Solid Color Patchwork Sleeveless Women's Day Dress,http://www.tbdress.com/product/Solid-Color-Patchwork-Sleeveless-Womens-Day-Dress-11315552.html,http://s.tbdress.com/images/product/11/11315/11315552_1.jpg,http://s.tbdress.com/images/product/11/11315/11315552_1_m.jpg,142.77,50.99,45.89,,,,11315552,Short Day Dresses,,,,,17:12.3,2015/4/3 16:00,,2
Solid Color Lace Patchwork Sleeveless Women's Day Dress,http://www.tbdress.com/product/Solid-Color-Lace-Patchwork-Sleeveless-Womens-Day-Dress-11315550.html,http://s.tbdress.com/images/product/11/11315/11315550_1.jpg,http://s.tbdress.com/images/product/11/11315/11315550_1_m.jpg,155.36,41.99,39.39,,,,11315550,Short Day Dresses,,,,,16:57.2,2015/4/3 16:00,,2
Rainbow Color Weaving Women's Straw Tote Bag,http://www.tbdress.com/product/Rainbow-Color-Weaving-Womens-Straw-Tote-Bag-11315481.html,http://s.tbdress.com/images/product/11/11315/11315481_1.jpg,http://s.tbdress.com/images/product/11/11315/11315481_1_m.jpg,69.27,20.99,19.49,,,,11315481,Straw Bags,,,,,00:09.9,2015/4/3 16:00,,2
Blue/Green Tassel Decorated Women's Straw Tote/Shoulder Bag,http://www.tbdress.com/product/Blue-Green-Tassel-Decorated-Womens-Straw-Tote-Shoulder-Bag-11315480.html,http://s.tbdress.com/images/product/11/11315/11315480_1.jpg,http://s.tbdress.com/images/product/11/11315/11315480_1_m.jpg,48.97,13.99,12.79,,,,11315480,Straw Bags,,,,,59:56.2,2015/4/3 16:00,,2
Blue Sequins Decorated Women's Straw Tote Bag,http://www.tbdress.com/product/Blue-Sequins-Decorated-Womens-Straw-Tote-Bag-11315478.html,http://s.tbdress.com/images/product/11/11315/11315478_1.jpg,http://s.tbdress.com/images/product/11/11315/11315478_1_m.jpg,44.77,15.99,15.09,,,,11315478,Straw Bags,,,,,59:42.2,2015/4/3 16:00,,2
Contrast Color Weaving Women's Straw Tote Bag,http://www.tbdress.com/product/Contrast-Color-Weaving-Womens-Straw-Tote-Bag-11315477.html,http://s.tbdress.com/images/product/11/11315/11315477_1.jpg,http://s.tbdress.com/images/product/11/11315/11315477_1_m.jpg,64.76,17.99,16.69,,,,11315477,Straw Bags,,,,,59:28.5,2015/4/3 16:00,,2
Striped Bear Decorated Women's Straw Tote Bag,http://www.tbdress.com/product/Striped-Bear-Decorated-Womens-Straw-Tote-Bag-11315476.html,http://s.tbdress.com/images/product/11/11315/11315476_4.jpg,http://s.tbdress.com/images/product/11/11315/11315476_4_m.jpg,45.98,19.99,18.79,,,,11315476,Straw Bags,,,,,59:15.1,2015/4/3 16:00,,2
Multi Color Stripe Women's Straw Tote Bag,http://www.tbdress.com/product/Multi-Color-Stripe-Womens-Straw-Tote-Bag-11315475.html,http://s.tbdress.com/images/product/11/11315/11315475_1.jpg,http://s.tbdress.com/images/product/11/11315/11315475_1_m.jpg,42.87,12.99,11.99,,,,11315475,Straw Bags,,,,,59:00.6,2015/4/3 16:00,,2
